序号,要求内容,类别,来源对话日期,优先级,状态,我的进展,关联对话
34,持续推进测试基准实验，并明确当前存在哪些关键问题（阻塞项）。,测试基准,2026-08-28T00:00:00Z,高,进行中,本地以 45 题为一轮，单轮 2-3 小时；比赛端由 lsq 同步优化，待其完成后再对齐修改。当前三个已知 bug：soft_budget 无人消费、lemma_repo 无人写入、leansearch 中文查询全空。,李老师8/28 17:48
35,评估定理检索环节的开销与有效性；老师判断“大模型直接调用定理造成的时间开销较大”。,验证/Mathlib,2026-08-28T00:00:00Z,高,进行中,已把简单题的 Lean 前置（帮助理解题目那一次）去掉，仅 deep 难题保留。leansearch 单次默认返回 5 条。实测一次调用链路：检索 7 条 → 去重去掉 4 条 → 剩 3 条有用 → 最终只用到 1 条，冗余高、转化率低。当前缺少定理调用埋点，无法量化调用频次与去重后定理数。,李老师8/28 18:37 / 8/29 16:33
36,把 Mathlib 精简为“仅保留会用到的部分”，并随环境直接上传到比赛平台（比赛平台不带 Lean4/Mathlib）。,系统架构,2026-08-29T00:00:00Z,高,进行中,按依赖闭包裁剪：Mathlib.Tactic 实测 337 olean / 0.11GB（此前 1.5-3GB 系按目录统计的误判）。改为随包上传。待确认：比赛平台是否真的未预装 Lean4/Mathlib。,李老师8/29 15:46-15:59
37,先考察本地环境下针对测试基准能做到的“理想正确率”上限，给出目标值。,测试基准,2026-08-29T00:00:00Z,高,进行中,IMO 类题目引入本套工具后 26% → 41%。修完全部已知 bug 预期稳定 40%+。比赛端因答案格式要求更严格，需先做格式适配再测。单轮实验成本 2-3 小时/45 题，是主要瓶颈。,李老师8/29 16:09
38,统计题目没做对的原因：是 Lean 审核多次不通过，还是其它环节？给出归因分布。,测试基准,2026-08-29T00:00:00Z,高,已完成(数据结论),归因已明确：Lean 审核失败占少数（不通过会降级放行）；主因是时间分配错误——Lean 前置（形式化 LLM 调用 + 每次约 21s 的 mathlib 编译 + 骨架审核）叠加子目标规划耗尽时间预算，导致真正写题的预算不足。对策为提高整体时间预算。,李老师8/29 16:15-16:21
39,对被调用的定理做记录（埋点），核实是否“调用次数频繁但调用的定理个数并不多”。,验证/Mathlib,2026-08-29T00:00:00Z,中,待办,目前没有任何定理调用记录，需先补埋点（调用次数 / 命中数 / 去重后条数 / 最终被采用条数）再观察。,李老师8/29 16:26-16:30
40,移除按题型分流的策略：IMO 基本全为证明题，题型分支反而拉低证明题正确率，应让 AI 按自身流程作答。,系统架构,2026-08-29T00:00:00Z,高,待办,确认本地 IMO 题库全为证明题。解答题/证明题分流实测降低证明题正确率，计划移除该分支。老师补充：计算题同样含有证明成分，且主要依赖依赖链，不应把计算题排除在 Lean/定理检索之外。,李老师8/29 23:07-23:18
41,明确单个子目标应检索出几条定理（top-k），并澄清“命中”的定义（命中不等于编译通过）。,验证/Mathlib,2026-08-29T00:00:00Z,高,进行中,命中链路已澄清：先选相似候选 → 去重 → 验证 → 才是对 Lean 真正有用的。当前默认单次 5 条（上限）。实测 7 条→去重去掉 4 条→剩 3 条有用→最终用到 1 条。下一步在时间开销与返回条数间做权衡，并继续优化定理种类（已裁剪过一轮）。,李老师8/29 23:13-23:33
42,参考《LeanSearch v2: Global Premise Retrieval for Lean 4 Theorem Proving》(arXiv:2605.13137v2) 改进定理检索。,验证/Mathlib,2026-08-29T00:00:00Z,高,待办,论文已下载并入 ima 知识库「书生ai」。要点：双模式（standard 单查询 nDCG@10=0.62 + reasoning 的 sketch-retrieve-reflect 迭代循环）；MathlibMPR（69 题）下 10 候选内恢复 46.1% 真值前提组；接入固定 prover 后证明成功率 4%→20%。关键差异：我方 leansearch 仅在证明题启用，而老师指出计算题同样依赖定理依赖链。标准模式已开放 API（leansearch.net）。,李老师8/29 23:36
43,解答中若用到某个定理，书生（推理模型）侧是否需要一并给出该定理的证明？,模型harness,2026-08-29T00:00:00Z,中,待办,已答复老师：是需要的。需在提示词与输出格式中落实“引用定理须附带其证明/依据”。,李老师8/29 23:38
44,保证时间充足、一步步做扎实：提高整体时间预算，与比赛的 6.5 小时上限对齐。,系统架构,2026-08-29T00:00:00Z,高,进行中,本地限定 5h，比赛限 6.5h。计划提高预算并重新校准各阶段配额（Lean 前置 / 子目标规划 / 写题）。老师要求不急于求成，逐步做扎实。,李老师8/29 16:20-16:58
45,验证“增加候选数量的收益 < 重复验证精炼的收益”这一结论，作为后续调优的方向约束。,测试基准,2026-08-29T00:00:00Z,中,已完成(数据结论),IMO 类题目 26%→41% 的过程中实测：堆候选数量收益小于重复验证精炼，与《Winning Gold at IMO 2025》证据一致（best-of-32 仅 31.6%，加验证精炼后 85.7%）。结论：任何“牺牲验证/协作轮数换取更多候选”的调优方向应予否决。,李老师8/29 16:06
