probe,item_id,variant,model,repeat,lean_ok,lean_compiled,lean_sorry,lean_checked,truncated,error,elapsed,fingerprint,answer,lean_error,m_kind,m_core,m_role,m_src_lean_ok,m_core_coverage,m_src_tgt_jaccard,m_src_tgt_inherit,m_label,m_escaped,m_trapped,m_gold_answer,m_gold_structure,m_trap_hits,m_gold_hits,m_has_lean,m_lean_ok,m_task,m_gold,m_pick,m_correct,m_ambiguous,m_note,m_structure,m_expected_family,m_family_hit,m_family_hit_count,m_direction,m_pattern_hit,m_n_matched,m_n_patterns,m_theorem,m_dimension,m_key_conditions,m_cond_hits,m_condition_completeness,m_full_conditions,m_missing_conditions,m_both_pass
A,A1,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,移项后配成若干个完全平方之和，用平方非负得证,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A1,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,移项后配成若干个完全平方之和，用平方非负得证,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A1,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,移项后配成若干个完全平方之和，用平方非负得证,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A2,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,把两边展开成标准多项式后逐项相等，用环上的恒等判别,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A2,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,把两边展开成标准多项式后逐项相等，用环上的恒等判别,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A2,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,把两边展开成标准多项式后逐项相等，用环上的恒等判别,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A3,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,cross,把式子配成完全平方 (x-1)²，用平方非负得证,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A3,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,cross,把式子配成完全平方 (x-1)²，用平方非负得证,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A3,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,cross,把式子配成完全平方 (x-1)²，用平方非负得证,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A4,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,反复使用 |u+v| ≤ |u|+|v|，再用线性算术合并,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A4,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,反复使用 |u+v| ≤ |u|+|v|，再用线性算术合并,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A4,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,反复使用 |u+v| ≤ |u|+|v|，再用线性算术合并,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A5,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,control,带下界条件的线性不等式，交给算术判定过程,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A5,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,control,带下界条件的线性不等式，交给算术判定过程,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A5,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,control,带下界条件的线性不等式，交给算术判定过程,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A6,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,把二次式配成完全平方，用平方非负得证,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A6,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,把二次式配成完全平方，用平方非负得证,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A6,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,把二次式配成完全平方，用平方非负得证,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A7,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,先通分消去分母，再用环上恒等判别收尾,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A7,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,先通分消去分母，再用环上恒等判别收尾,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A7,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,near,先通分消去分母，再用环上恒等判别收尾,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A8,source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,cross,平方非负；若平方和恰为 0，则每个平方项都只能是 0,source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A8,target_with_source,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,cross,平方非负；若平方和恰为 0，则每个平方项都只能是 0,target_with_source,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A8,target_baseline,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,cross,平方非负；若平方和恰为 0，则每个平方项都只能是 0,target_baseline,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B1,trap,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,other,0,0,最小值 3（x = 1）,配方法与平方和非负,[],[],1,0,,,,,,,,,,,,,,,,,,,,,,
B,B2,trap,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,trapped,0,1,不成立，n = 40（1681 = 41²）,反证法与构造反例,"[""恒成立""]",[],1,0,,,,,,,,,,,,,,,,,,,,,,
B,B3,trap,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,other,0,0,不对，反例 n = 2,反证法与构造反例,[],[],1,0,,,,,,,,,,,,,,,,,,,,,,
B,B4,trap,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,trapped,0,1,不成立（n = 2 与 n = 4 处取等；仅当 n ≥ 5 时成立）,反证法与构造反例,"[""恒成立""]",[],1,0,,,,,,,,,,,,,,,,,,,,,,
B,B5,trap,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,other,0,0,不存在最小值（x → 0⁻ 时趋于 −∞）,单调性与极值,[],[],0,0,,,,,,,,,,,,,,,,,,,,,,
B,B6,trap,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,other,0,0,5 个（最坏情况：取完 3 个蓝球后再取 2 个红球）,极端原理,[],[],0,0,,,,,,,,,,,,,,,,,,,,,,
C,C1,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,不变量与染色,未识别,0,0,对角两格同色，剩下 32 黑 30 白（或反之），每张骨牌必覆盖一黑一白 → 不可能,,,,,,,,,,,,,,,,
C,C2,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,抽屉原理 / 鸽巢原理,未识别,0,0,"Ramsey R(3,3)=6：固定一人，其余 5 人分入'认识/不认识'两个抽屉",,,,,,,,,,,,,,,,
C,C3,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,数学归纳法,未识别,0,0,基础步 + 归纳步,,,,,,,,,,,,,,,,
C,C4,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,极端原理,未识别,0,0,取距离某条基准直线最近/最远的点对，或用旋转直线法（凸包的一条边）,,,,,,,,,,,,,,,,
C,C5,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,反证法与构造反例,未识别,0,0,n = 40 给出反例 1681 = 41²,,,,,,,,,,,,,,,,
C,C6,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,配方法与平方和非负,未识别,0,0,等价于 ½[(a-b)² + (b-c)² + (c-a)²] ≥ 0,,,,,,,,,,,,,,,,
C,C7,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,抽屉原理 / 鸽巢原理,未识别,0,0,按模 4 的余数分成 4 类，5 个数必有两者同类 → 差被 4 整除,,,,,,,,,,,,,,,,
C,C8,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,反证法与构造反例,未识别,0,0,"假设 √2 = p/q 既约 → 推出 p, q 皆为偶数，与既约矛盾",,,,,,,,,,,,,,,,
C,C9,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,双射与计数,未识别,0,0,握手定理：把所有人的'认识关系数'求和，每条关系被数了两次 → 总和为偶数,,,,,,,,,,,,,,,,
C,C10,articulate,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,,articulate,同余与模运算,未识别,0,0,平方数模 4 只能是 0 或 1，两平方和模 4 不可能是 3,,,,,,,,,,,,,,,,
C,R1,reverse_lean,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,reverse_lean,,,,,,数学归纳法,"[""induction""]",0,0,,,,,,,,,,,,
C,R2,reverse_lean,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,reverse_lean,,,,,,配方法与平方和非负,"[""sq_nonneg"", ""nlinarith""]",0,0,,,,,,,,,,,,
C,R3,reverse_lean,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,reverse_lean,,,,,,反证法与构造反例,"[""norm_num"", ""use"", ""push_neg""]",0,0,,,,,,,,,,,,
C,R4,reverse_lean,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,reverse_lean,,,,,,同余与模运算,"[""norm_num"", ""omega""]",0,0,,,,,,,,,,,,
D,D1,c2g,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,,1³ + 2³ + … + n³ = (1+2+…+n)² = [n(n+1)/2]²,,,,立方和等于和的平方；Lean 用 n=4 的具体实例做客观校验,,,,,c2g,0,0,5,,,,,,,,
D,D2,g2c,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,,"不成立。反例 a = 2, b = 3（6 | 6，但 6 ∤ 2 且 6 ∤ 3）",,,,测'是否理解定理条件的必要性'——抽象理解的核心,,,,,g2c,0,0,3,,,,,,,,
D,D3,c2g,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,,"a = m² - n², b = 2mn, c = m² + n²",,,,最强客观判据：模型给出的参数化若正确，Lean 用 ring 一步验证恒等式,,,,,c2g,0,0,3,,,,,,,,
D,D4,g2c,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,,不成立。2³ = 8，8 mod 4 = 0，不等于 1,,,,测'素数条件是否为定理成立的必要前提'——与 D2 同族但换到费马小定理,,,,,g2c,0,0,4,,,,,,,,
D,D5,c2g,deepseek,0,0,0,0,0,0,,0.0,,答案：恒成立。,,,,,,,,,,,,,,,,,0,,前 n 个奇数之和 = n²，即 1 + 3 + 5 + … + (2n-1) = n²,,,,与 D1 同属'求和闭式'抽象族，可对照看模型在两个不同序列上的抽象稳定性,,,,,c2g,0,0,4,,,,,,,,
